105學年度全國大學校院及校長名錄,,,,,,,,,,,
匯出時間:106.02.18,,,,,,,,,,,
序號,學校代碼,學校名稱,學校英文名稱,職稱,姓名,郵遞區號,地址,學校總機,學校傳真,網址,
121,1073,醒吾學校財團法人醒吾科技大學,Hsing Wu University of Science and Technology,校長,周燦德,24452,新北市林口區粉寮路一段101號,02-2601-5310,02-2601-0748,http://www.hwu.edu.tw,
122,1074,南榮學校財團法人南榮科技大學,Nan Jeon University of Science and Technology,校長,王俊惠,73746,臺南市鹽水區朝琴路178號,06-652-3111,06-652-3614,http://www.nju.edu.tw/,
123,1075,文藻學校財團法人文藻外語大學,Wenzao Ursuline University of Languages,校長,周守民,80793,高雄市三民區民族一路900號,07-342-6031,07-342-7942,http://www.wzu.edu.tw,
124,1076,華夏學校財團法人華夏科技大學,Hwa Hsia University of Technology,校長,陳富都,23568,新北市中和區工專路111號,02-8941-5100,02-2941-5730,http://www.hwh.edu.tw/bin/home.php,
125,1077,慈濟學校財團法人慈濟科技大學,Tzu Chi University of Science and Technology,校長,羅文瑞,97005,花蓮縣花蓮市建國路二段880號,03-857-2158,03-857-7261,http://www.tcust.edu.tw,
126,1078,致理學校財團法人致理科技大學,Chihlee University of Technology,校長,尚世昌,22050,新北市板橋區文化路1段313號,02-2257-6167#1202,02-2258-3710,http://www.chihlee.edu.tw,
127,1079,康寧學校財團法人康寧大學,University of Kang Ning,校長,黃宜純,11485,台北市內湖區康寧路三段75巷137號,02-2632-1181,02-2632-8744,http://www.ukn.edu.tw,
128,1125,中信學校財團法人中信金融管理學院,CTBC Financial Management College,校長,施光訓,70963,臺南市安南區台江大道3段600號,06-287-3335,06-287-3536,http://www.ctbc.edu.tw/,
129,1148,大漢技術學院,Dahan Institute of Technology,校長,宋佩瑄,97145,花蓮縣新城鄉大漢村樹人街1號,03-821-0888,03-826-2916,http://www.dahan.edu.tw,
130,1159,和春技術學院,Fortune Institute of Technology,校長,王嘉男,83160,高雄市大寮區琉球里至學路288號,07-788-9888,07-788-9777,http://www.fotech.edu.tw/,
131,1166,亞東技術學院,Oriental Institute of Technology,校長,黃茂全,22061,新北市板橋區四川路二段58號,02-7738-8000,02-7738-2678,http://www.oit.edu.tw/bin/home.php,
132,1168,南亞科技學校財團法人南亞技術學院,Nanya Institute of Technology,校長,王宇傑,32091,桃園市中壢區中山東路三段414號,03-436-1070,03-438-7017,http://www.nanya.edu.tw,
133,1176,稻江科技暨管理學院,TOKO  UNIVERSITY,校長,張淑中,61363,嘉義縣朴子市學府路2段51號,05-362-2889#112,05-362-0707,http://www.toko.edu.tw,
134,1179,德霖技術學院,De Lin Institute Of Technology,校長,羅仕鵬,23654,新北市土城區青雲路380巷1號,02-2273-3567,02-2273-3995,http://w3.dlit.edu.tw/index.phtml,
135,1182,蘭陽技術學院,Lan Yang Institute of Technology,校長,林淑莉,26141,宜蘭縣頭城鎮復興路79號,03-977-1997,03-978-9899,http://www.fit.edu.tw/,
136,1183,黎明技術學院,Lee-Ming Institute of Technology,校長,周錦東,24305,新北市泰山區泰林路三段22號,02-2909-7811,02-2296-5911,http://www.lit.edu.tw/,
137,1184,東方學校財團法人東方設計學院,TungFang Design Institute,校長,吳淑明,82941,高雄市湖內區東方路110號,07-693-2011,07-693-1611,http://www.tf.edu.tw,
138,1185,經國管理暨健康學院,CHING KUO INSTITUTE OF MANAGEMENT AND HEALTH,校長,邱明源,20301,基隆市中山區復興路336號,02-2437-2093#415,02-2437-6209,http://www.cku.edu.tw,
139,1187,崇右技術學院,Chungyu Institute of Technology,校長,俞維昇,20103,基隆市信義區義七路40號,02-2423-7785#202,02-2429-3639,http://www.cit.edu.tw,
